term,vocab,id,officialterm
aedicules,AAT,300002574,aedicules
agriculture (discipline),AAT,300054463,agriculture (discipline)
agriculture,AAT,300054463,agriculture (discipline)
alabastra,AAT,300198887,alabastra
alae,AAT,300004055,alae
allées,AAT,300178561,allées
altars (religious fixtures),AAT,300003725,altars (religious fixtures)
altars,AAT,300003725,altars (religious fixtures)
ambulatio,none,,ambulatio
amorini,none,,amorini
amphitheaters (built works),AAT,300007128,amphitheaters (built works)
amphitheaters,AAT,300007128,amphitheaters (built works)
amphorae (storage vessels),AAT,300148696,amphorae (storage vessels)
amphorae,AAT,300148696,amphorae (storage vessels)
angiportus,AAT,300008249,angiportūs
angiportūs,AAT,300008249,angiportūs
annular vaults,AAT,300001370,annular vaults
apses,AAT,300004607,apses
apsed pools,none,,apsed pools
apsed triclinia,none,apsed triclinia
aqueducts,AAT,300006165,aqueducts
arboretums,AAT,300008106,arboretums
arbors,AAT,300006781,arbors
arcades (structural assemblies),AAT,300002580,arcades (structural assemblies)
arcades,AAT,300002580,arcades (structural assemblies)
archaeobotany,AAT,300251771,archaeobotany
archaeological gardens,none,,archaeological gardens
architectural terracotta,AAT,300010670,architectural terracotta
architraves (entablature),AAT,300001780,architraves (entablature)
architraves,AAT,300001780,architraves (entablature)
artificial islands,AAT,300386969,artificial islands
artificial lakes,AAT,300263360,artificial lakes
artificial water channels,AAT,300133792,artificial water channels
atrium houses,AAT,300005451,atrium houses
atriums,AAT,300004097,atriums (Roman halls)
atriums (Roman halls),AAT,300004097,atriums (Roman halls)
auditoriums,AAT,300004394,auditoriums
Augustan,AAT,300020543,Augustan
awnings,AAT,300254200,awnings
axial plan,AAT,300121971,axial plan
baetyls,AAT,300400603,baetyls
balnea,AAT,300120377,balnea
balustrades,AAT,300001989,balustrades
barns,AAT,300004900,barns
basins (vessels),AAT,300045614,basins (vessels)
basins,AAT,300045614,basins (vessels)
bathhouses (water recreation structures),AAT,300007347,bathhouses (water recreation structures)
bathhouses,AAT,300007347,bathhouses (water recreation structures)
baths,none,,baths
beds (site elements),AAT,300239937,beds (site elements)
beds,AAT,300239937,beds (site elements)
biclinia,AAT,300170371,biclinia
bone (material),AAT,300011798,bone (material)
bone,AAT,300011798,bone (material)
botanical gardens,AAT,300008107,botanical gardens
brick (clay material),AAT,300010463,brick (clay material)
brick,AAT,300010463,brick (clay material)
bronze (metal),AAT,300010957,bronze (metal)
bucrania,AAT,300030853,bucrania
buildings (structures),AAT,300004792,buildings (structures)
burials,AAT,300263485,burials
busts (sculpture),AAT,300417950,busts (sculpture)
buttresses,AAT,300000891,buttresses
cachepots,AAT,300197605,cachepots
caldaria,AAT,300004203,caldaria
canals (waterways),AAT,300006075,canals (waterways)
candelabras (candleholders),AAT,300037584,candelabras (candleholders)
candelabrum (motifs),AAT,300265618,candelabrum (motifs)
capitals (column components),AAT,300001662,capitals (column components)
castelli aquae,AAT,300006192,castelli aquae
castra,AAT,300008440,castra
catch basins,AAT,300052554,catch basins
cauponae,AAT,300005208,cauponae
caveae,AAT,300004734,caveae
ceramic (material),AAT,300235507,ceramic (material)
ceramic tile,AAT,300010678,ceramic tile
charcoal (material),AAT,300012862,charcoal (material)
cherry (plant),AAT,300375306,cherry (plant)
chests (case furniture),AAT,300038992,chests (case furniture)
churches (buildings),AAT,300007466,churches (buildings)
cippi,AAT,300006963,cippi
circuses (Roman arenas),AAT,300007255,circuses (Roman arenas)
cisterns (plumbing components),AAT,300052558,cisterns (plumbing components)
city walls,AAT,300005072,city walls
colonnades,AAT,300002613,colonnades
column bases,AAT,300233843,column bases
columns (architectural elements),AAT,300001571,columns (architectural elements)
concrete,AAT,300010737,concrete
Corinthian columns,AAT,300299596,Corinthian columns
Corinthian order,AAT,300067417,Corinthian order
cornices,AAT,300001788,cornices
cornucopias (motifs),AAT,300303413,cornucopias (motifs)
corridors,AAT,300004294,corridors
courtyards (uncovered spaces),AAT,300004095,courtyards (uncovered spaces)
crematories,AAT,300005871,crematories
Crocodylidae (family),AAT,300250293,Crocodylidae (family)
cryptoportici,AAT,300004295,cryptoportici
cubicula (domestic spaces),AAT,300004367,cubicula (domestic spaces)
curiae,AAT,300006027,curiae
cypress (wood),AAT,300012540,cypress (wood)
dadoes,AAT,300001746,dadoes
ditches,AAT,300006178,ditches
dolia,AAT,300400601,doliums
doliums,AAT,300400601,doliums
domus,AAT,300005506,domus
Doric order,AAT,300067406,Doric order
dovecotes,AAT,300004975,dovecotes
drains,AAT,300052564,drains
Early Imperial,AAT,300107346,Early Imperial
elms,POWO,30004945-2,Ulmus sp.
