term,vocab,id
laurel (*Laurus nobilis*),POWO,465049-1
olive trees (*Olea europaea*),POWO,610675-1
elms (*Ulmus* sp.),POWO,
olive trees (*Olea europaea*),POWO,610675-1
plane trees (*Platanus orientalis*),POWO,685873-1
poplars (*Populus* sp.),POWO,328417-2
myrtle (*Myrtus communis*),POWO,599719-1
pomegranate (*Punica granatum*),POWO,554129-1
date palms (*Phoenix dactylifera*),POWO,668912-1
wild olives (Olea oleaster),POWO,610760-1
pines (*Pinus* sp.),POWO,328247-2
cypresses (Cupressaceae),POWO,77126767-1
plane trees (*Platanus orientalis*),POWO,685873-1
wild olives (*Olea oleaster*),POWO,610760-1
holm oaks (Quercus ilex),POWO,296290-1




GET THE PROPER TERM FOR EACH OF THESE...
