Pausanias	urn:cite:perseus:author.1054.1
orchards	http://vocab.getty.edu/page/aat/300008890
piscinae	http://vocab.getty.edu/page/aat/300375619
tombs	http://vocab.getty.edu/page/aat/300005926
epitaphs	http://vocab.getty.edu/page/aat/300028729
sarcophagi (coffins)	http://vocab.getty.edu/page/aat/300005947
bathhouses (water recreation structures)	http://vocab.getty.edu/page/aat/300007347
fountains	http://vocab.getty.edu/page/aat/300006179
peristyles (Roman courtyards)	http://vocab.getty.edu/page/aat/300080971
piscinae	 http://vocab.getty.edu/page/aat/300375619
stelae	http://vocab.getty.edu/page/aat/300007023
arcades (structural assemblies)	http://vocab.getty.edu/page/aat/300002580
corridors	http://vocab.getty.edu/page/aat/300004294
vestibules	http://vocab.getty.edu/page/aat/300083076
villae rusticae	http://vocab.getty.edu/page/aat/300005518
altars (religious fixtures)	http://vocab.getty.edu/page/aat/300003725
atriums	http://vocab.getty.edu/page/aat/300004097
podiums (building divisions)	http://vocab.getty.edu/page/aat/300000976
porticoes	http://vocab.getty.edu/page/aat/300004145
colonnades	http://vocab.getty.edu/page/aat/300002613
palaces	http://vocab.getty.edu/page/aat/300005734
axial plan	http://vocab.getty.edu/page/aat/300121971
terrace gardens	http://vocab.getty.edu/page/aat/300404778
villae suburbanae	http://vocab.getty.edu/page/aat/300005519
arbors	http://vocab.getty.edu/page/aat/300006781
loam	http://vocab.getty.edu/page/aat/300014335
mosaics (visual works)	http://vocab.getty.edu/page/aat/300015342
sherds	http://vocab.getty.edu/page/aat/300117132
funerary buildings	http://vocab.getty.edu/page/aat/300005866
waterspouts	http://vocab.getty.edu/page/aat/300248603
water baths	http://vocab.getty.edu/page/aat/300248755
fences (site elements)	http://vocab.getty.edu/page/aat/300005044
barrier walls	http://vocab.getty.edu/page/aat/300419302
gazebos	http://vocab.getty.edu/page/aat/300006798
insulae	http://vocab.getty.edu/page/aat/300000325
kitchen gardens	http://vocab.getty.edu/page/aat/300008110
courtyards	http://vocab.getty.edu/page/aat/300004095
ditches	http://vocab.getty.edu/page/aat/300006178
hedges	http://vocab.getty.edu/page/aat/300266413
water wells	http://vocab.getty.edu/page/aat/300152327
cherry (plant)	http://vocab.getty.edu/page/aat/300375306
villae urbanae	http://vocab.getty.edu/page/aat/300005520
triclinia	http://vocab.getty.edu/page/aat/300004359
mural paintings (visual works)	http://vocab.getty.edu/page/aat/300033644
atrium houses	http://vocab.getty.edu/page/aat/300005451
tablina	http://vocab.getty.edu/page/aat/300004180
castra	http://vocab.getty.edu/page/aat/300008440
praetoriums	http://vocab.getty.edu/page/aat/300005636
pedestals	http://vocab.getty.edu/page/aat/300001744
Pliny the Younger	urn:cts:latinLit:phi1318
pergolas	http://vocab.getty.edu/page/aat/300006783
sarcophagi	http://vocab.getty.edu/page/aat/300005947
lararia	http://vocab.getty.edu/page/aat/300400600
drains	http://vocab.getty.edu/page/aat/300052564
exedrae (site elements)	http://vocab.getty.edu/page/aat/300081589
nymphaea (garden structures)	http://vocab.getty.edu/page/aat/300006809
domus	http://vocab.getty.edu/page/aat/300005506
hypocausts	http://vocab.getty.edu/page/aat/300004277
opus sectile (visual works)	http://vocab.getty.edu/page/aat/300254462
opus signinum	http://vocab.getty.edu/page/aat/300379969
oeci	http://vocab.getty.edu/page/aat/300080791
peristyles (columnades)	http://vocab.getty.edu/page/aat/300004029
terrazzo	http://vocab.getty.edu/page/aat/300011696
kraters	http://vocab.getty.edu/page/aat/300198855
rinceaux	http://vocab.getty.edu/page/aat/300165495
former reservoirs	http://vocab.getty.edu/page/aat/300386966
mausoleums	http://vocab.getty.edu/page/aat/300005891
ceramic tile	http://vocab.getty.edu/page/aat/300010678
hearths	http://vocab.getty.edu/page/aat/300003990
horrea	http://vocab.getty.edu/page/aat/300120504
pillars	http://vocab.getty.edu/page/aat/300264605
tesserae	http://vocab.getty.edu/page/aat/300010730
water supply systems	http://vocab.getty.edu/page/aat/300008618
well houses	http://vocab.getty.edu/page/aat/300008017
cisterns (plumbing components)	http://vocab.getty.edu/page/aat/300052558
gutters (building drainage components)	http://vocab.getty.edu/page/aat/300052565
statues	http://vocab.getty.edu/page/aat/300047600
statuettes (free-standing sculpture)	http://vocab.getty.edu/page/aat/300312262
alleys (streets)	http://vocab.getty.edu/page/aat/300008248
pilasters	http://vocab.getty.edu/page/aat/300002737
tufa	http://vocab.getty.edu/page/aat/300011712
aqueducts	http://vocab.getty.edu/page/aat/300006165
basins (vessels)	http://vocab.getty.edu/page/aat/300045614
doliums	http://vocab.getty.edu/page/aat/300400601
cauponae	http://vocab.getty.edu/page/aat/300005208
flowerpots	http://vocab.getty.edu/page/aat/300194749
tables (support furniture)	http://vocab.getty.edu/page/aat/300039548
impluvia	http://vocab.getty.edu/page/aat/300129867
amphorae (storage vessels)	http://vocab.getty.edu/page/aat/300148696
biclinia	http://vocab.getty.edu/page/aat/300170371
aedicules	http://vocab.getty.edu/page/aat/300002574
graffiti (casual notations)	http://vocab.getty.edu/page/aat/300015613
